ABW,
AND,
AFG,19331286549
AGO,1.02627E+11
ALB,11398392444
ARB,2.56587E+12
ARE,3.70296E+11
ARG,5.83169E+11
ARM,10529182498
ASM,
ATG,1259259259
AUS,1.33914E+12
AUT,3.7695E+11
AZE,53047140347
BDI,3097324740
BEL,4.55086E+11
BEN,8290986804
BFA,10678201939
BGD,1.95079E+11
BGR,50199117547
BHR,31125851064
BHS,8853519100
BIH,16191716215
BLR,54608962635
BLZ,1752861128
BMU,
BOL,32997684515
BRA,1.77472E+12
BRB,4385250000
BRN,12930394938
BTN,2057947621
BWA,14389717321
CAF,1583776760
CAN,1.55054E+12
CEB,1.2815E+12
CHE,6.7079E+11
CHI,
CHL,2.40796E+11
CHN,1.10077E+13
CIV,31759248868
CMR,28415950981
COG,8553154506
COL,2.9208E+11
COM,565689764.5
CPV,1603239233
CRI,54136834091
CSS,66935278418
CUB,
CUW,
CYM,
CYP,19559942331
CZE,1.85156E+11
DEU,3.36345E+12
DJI,1727000000
DMA,517218963
DNK,2.95091E+11
DOM,68102618092
DZA,1.66839E+11
EAP,1.32047E+13
EAR,9.95424E+12
EAS,2.168E+13
ECA,2.8932E+12
ECS,2.00768E+13
ECU,1.00177E+11
EGY,3.30779E+11
EMU,1.16024E+13
ERI,
ESP,1.19906E+12
EST,22459443274
ETH,61539711687
EUU,1.63119E+13
FCS,7.46905E+11
FIN,2.3195E+11
FJI,4425503075
FRA,2.41884E+12
FRO,
FSM,314971100
GAB,14262032471
GBR,2.858E+12
GEO,13965385802
GHA,37543361204
GIB,
GIN,6699203543
GMB,938794719.4
GNB,1056776883
GNQ,12202323684
GRC,1.94851E+11
GRD,984074074.1
GRL,
GTM,63794152886
GUM,
GUY,3166029056
HIC,4.74115E+13
HKG,3.09235E+11
HND,20420967149
HPC,6.2925E+11
HRV,48732003674
HTI,8765329890
HUN,1.21715E+11
IBD,2.51824E+13
IBT,2.74984E+13
IDA,2.32479E+12
IDB,1.22033E+12
IDN,8.61934E+11
IDX,1.0956E+12
IMN,
IND,2.0954E+12
INX,
IRL,2.83703E+11
IRN,
IRQ,1.80069E+11
ISL,16598494831
ISR,2.99416E+11
ITA,1.8215E+12
JAM,14262190323
JOR,37517410282
JPN,4.38308E+12
KAZ,1.84388E+11
KEN,63398041540
KGZ,6571853849
KHM,18049954289
KIR,160121929.2
KNA,876478555.6
KOR,1.37787E+12
KSV,6400687590
KWT,1.14041E+11
LAC,4.85462E+12
LAO,12369080043
LBN,47084703151
LBR,2053000000
LBY,
LCA,1431135704
LCN,5.29379E+12
LDC,9.34032E+11
LIC,3.94274E+11
LIE,
LKA,82316172384
LMC,5.86105E+12
LMY,2.67616E+13
LSO,2278037786
LTE,1.83325E+13
LTU,41170728956
LUX,57793612066
LVA,27002832428
MAC,46177532874
MAF,
MAR,1.00593E+11
MCO,
MDA,6568288862
MDG,9738652322
MDV,3435244659
MEA,3.14108E+12
MEX,1.14379E+12
MHL,179432573.8
MIC,2.6367E+13
MKD,10086021261
MLI,12746688962
MLT,9746478873
MMR,62600906116
MNA,
MNE,3987061628
MNG,11741338841
MNP,
MOZ,14807075727
MRT,
MUS,11681761261
MWI,6403820949
MYS,2.96283E+11
NAC,1.95931E+13
NAM,11491507356
NCL,
NER,7142951342
NGA,4.81066E+11
NIC,12692562187
NLD,7.50284E+11
NOR,3.86578E+11
NPL,21194888048
NRU,100457157.6
NZL,1.73754E+11
OED,4.63014E+13
OMN,69830949285
OSS,3.68002E+11
PAK,2.7105E+11
PAN,52132289747
PER,1.89111E+11
PHL,2.92451E+11
PLW,287400000
PNG,
POL,4.77066E+11
PRE,1.2934E+12
PRI,
PRK,
PRT,1.98923E+11
PRY,27093938619
PSS,8568336288
PST,4.40246E+13
PYF,
QAT,1.64641E+11
ROU,1.77954E+11
RUS,1.33121E+12
RWA,8095980014
SAS,2.68986E+12
SAU,6.46002E+11
SDN,97156119150
SEN,13609989582
SGP,2.92739E+11
SLB,1129164719
SLE,4214779785
SLV,25850200000
SMR,
SOM,5925000000
SRB,37160332465
SSA,1.5886E+12
SSD,9015221096
SSF,1.59004E+12
SST,4.43483E+11
STP,317696178.7
SUR,5150291217
SVK,87263622047
SVN,42774769768
SWE,4.95624E+11
SWZ,4118488059
SXM,
SYC,1437722206
SYR,
TCA,
TCD,10888798114
TEA,1.31795E+13
TEC,3.419E+12
TGO,4087903913
THA,3.95168E+11
TJK,7853450374
TKM,35854571429
TLA,5.11054E+12
TMN,
TLS,1441718600
TON,435142409
TSA,2.68986E+12
TSS,1.59004E+12
TTO,23559287484
TUN,43015089723
TUR,7.1788E+11
TUV,32673277.74
TZA,45628247290
UGA,27529249701
UKR,90615023324
UMC,2.04927E+13
URY,53442697569
USA,1.80366E+13
UZB,66732736498
VCT,737683555.6
VEN,
VGB,
VIR,
VNM,1.93599E+11
VUT,742432131
PSE,12677399995
WLD,7.41525E+13
WSM,761037916.4
YEM,37733919936
ZAF,3.14572E+11
COD,35237742278
ZMB,21154394546
ZWE,14419185900
